Date,Open,High,Low,Close,Volume
12/11/2018,123.25,123.809998,120,120.889999,5043100
12/12/2018,122.510002,122.879997,121,121.160004,3560500
12/13/2018,121.260002,121.790001,120.169998,120.730003,3993600
12/14/2018,119.5,121.110001,119.440002,119.900002,4554200
12/17/2018,119.07,119.779999,115.07,116.099998,7374500
12/18/2018,116.900002,118.230003,116.019997,116.650002,6290200
12/19/2018,117.150002,120.269997,115.970001,116.43,6979800
12/20/2018,115.699997,116.449997,111.699997,113.019997,8454400
12/21/2018,112.5,115.279999,110.440002,110.940002,10386500
12/24/2018,109.900002,111,107.5,107.57,3821400
12/26/2018,108,111.389999,105.940002,111.389999,6645800
12/27/2018,109.989998,113.779999,109.470001,113.779999,6045600
12/28/2018,114.220001,114.800003,112.5,113.029999,5117500
12/31/2018,113.330002,114.349998,112.419998,113.669998,4982800
1/2/2019,112.010002,115.980003,111.690002,115.209999,4239900
1/3/2019,114.529999,114.879997,112.690002,112.910004,4346700
1/4/2019,114.910004,117.489998,114.440002,117.32,4477800
1/7/2019,117.5,118.830002,116.669998,118.150002,3751200
1/8/2019,119.660004,120.57,118.980003,119.830002,4763600
1/9/2019,120.910004,121.400002,119.870003,120.690002,3633700
1/10/2019,120.080002,121.860001,119.949997,121.790001,3838200
