Date,Open,High,Low,Close,Volume
16:00,120.08,121.86,119.95,121.79,"3,908,521"
1/10/2019,120.08,121.86,119.95,121.79,3837848
1/9/2019,120.91,121.4,119.87,120.69,3619359
1/8/2019,119.66,120.57,118.98,119.83,4700622
1/7/2019,117.5,118.83,116.67,118.15,3732918
1/4/2019,114.91,117.49,114.44,117.32,4430160
1/3/2019,114.53,114.88,112.69,112.91,4154119
1/2/2019,112.01,115.98,111.69,115.21,4233847
12/31/2018,113.33,114.35,112.4201,113.67,4981706
12/28/2018,114.22,114.8,112.5,113.03,5116291
12/27/2018,109.99,113.78,109.4699,113.78,5839611
12/26/2018,108,111.39,105.94,111.39,6593685
12/24/2018,109.9,111,107.5,107.57,3821376
12/21/2018,112.5,115.28,110.44,110.94,10371780
12/20/2018,115.7,116.45,111.7,113.02,8393880
12/19/2018,117.15,120.27,115.97,116.43,6912152
12/18/2018,116.9,118.23,116.02,116.65,6161819
12/17/2018,119.07,119.78,115.07,116.1,7332780
12/14/2018,119.5,121.11,119.44,119.9,4552052
12/13/2018,121.26,121.79,120.17,120.73,3913588
12/12/2018,122.51,122.88,121,121.16,3560423
12/11/2018,123.25,123.81,120,120.89,4806171
12/10/2018,119.74,121.6822,118.52,121.13,6545975
12/7/2018,123.9,124.05,118.87,119.34,6946644
12/6/2018,119.72,123.91,119.301,123.91,6917204
12/4/2018,124.49,124.92,121.33,121.6,5732774
12/3/2018,125.67,126.59,124.36,125.31,5764562
11/30/2018,121.66,124.69,121.48,124.27,7250091
11/29/2018,122.44,123.1208,121.4,121.48,5083509
11/28/2018,121.01,123.09,120.22,123,5103750
11/27/2018,118.38,120.04,118.37,120.03,4902206
11/26/2018,118.37,120.25,118.06,119.56,4983724
11/23/2018,118.09,118.3382,116.91,117.19,2334730
11/21/2018,117.61,119.51,117.39,118.57,5333589
11/20/2018,118.49,119.49,116.6955,117.2,6232010
11/19/2018,121.63,122.18,119.77,120.31,4129149
11/16/2018,120.89,121.85,120.5405,121.57,4076283
11/15/2018,119.66,121.44,119.51,121.44,5203470
11/14/2018,121.11,121.93,119.77,120.2,4753027
11/13/2018,121.19,122.2505,119.9,120.84,4058494
11/12/2018,123.5,123.57,120.65,120.9,5374419
11/9/2018,123.61,124.57,121.96,123.54,6961728
11/8/2018,122.66,124.404,122.63,123.38,10392940
11/7/2018,123.79,125.06,122.33,124.84,12371100
11/6/2018,120.7,123.81,120.31,123.12,9593084
11/5/2018,116.1,120.77,116,120.06,9127909
11/2/2018,117.51,117.75,114.5384,115.67,10507760
11/1/2018,115.5,117,115.11,116.83,13619520
10/31/2018,116.49,116.5,114.09,115.43,21631840
10/30/2018,120.48,121.5,115.15,115.4,21412910
10/29/2018,119.34,123.95,118.3,119.64,20130510
10/26/2018,125.21,125.78,123.71,124.79,8758967
10/25/2018,127.25,127.79,125.14,126.45,10269570
10/24/2018,131.17,131.69,127,127.21,5646273
10/23/2018,129.02,131.9,128.41,131.21,6461726
10/22/2018,129.58,130.4379,128.4,130.02,5629672
10/19/2018,130.65,131.89,127.96,129.1,7720795
10/18/2018,132.73,133.4,130.04,130.55,9989208
10/17/2018,135.89,137.15,133.4193,134.05,18961040
10/16/2018,142.93,145.45,141.58,145.12,8573985
10/15/2018,140.38,142.26,140.14,141.13,4611820
10/12/2018,141.12,141.54,139.08,140.85,6391828
10/11/2018,142.62,144.19,138.78,139.02,8702607
10/10/2018,147.5,147.69,142.5,142.69,5272862
